raceId,year,driverId,constructorId,finish_points,grid,position,racer_name,constructor_name,qual_points,teammate_points
345,2010,807,3,0.0,8,,Nico Hülkenberg,Williams,4,1.0
345,2010,5,205,0.0,20,,Heikki Kovalainen,Lotus,0,0.0
345,2010,17,9,0.0,2,,Mark Webber,Red Bull,18,0.0
346,2010,17,9,25.0,2,1.0,Mark Webber,Red Bull,18,1.0
346,2010,1,1,18.0,4,2.0,Lewis Hamilton,McLaren,12,1.0
346,2010,3,131,15.0,5,3.0,Nico Rosberg,Mercedes,10,1.0
346,2010,18,1,12.0,14,4.0,Jenson Button,McLaren,0,0.0
346,2010,22,3,10.0,8,5.0,Rubens Barrichello,Williams,4,1.0
346,2010,155,15,8.0,12,6.0,Kamui Kobayashi,Sauber,0,1.0
346,2010,20,9,6.0,1,7.0,Sebastian Vettel,Red Bull,25,0.0
346,2010,16,10,4.0,11,8.0,Adrian Sutil,Force India,0,1.0
346,2010,30,131,2.0,10,9.0,Michael Schumacher,Mercedes,1,0.0
346,2010,807,3,1.0,13,10.0,Nico Hülkenberg,Williams,0,0.0
346,2010,24,10,0.0,20,11.0,Vitantonio Liuzzi,Force India,0,0.0
346,2010,67,5,0.0,16,12.0,Sébastien Buemi,Toro Rosso,0,0.0
346,2010,808,4,0.0,15,13.0,Vitaly Petrov,Renault,0,1.0
346,2010,4,6,0.0,3,14.0,Fernando Alonso,Ferrari,15,1.0
346,2010,13,6,0.0,7,15.0,Felipe Massa,Ferrari,6,0.0
346,2010,15,205,0.0,21,16.0,Jarno Trulli,Lotus,0,1.0
346,2010,5,205,0.0,18,17.0,Heikki Kovalainen,Lotus,0,0.0
346,2010,10,166,0.0,19,18.0,Timo Glock,Virgin,0,0.0
346,2010,812,164,0.0,23,19.0,Karun Chandhok,HRT,0,1.0
346,2010,29,164,0.0,24,20.0,Sakon Yamamoto,HRT,0,0.0
346,2010,153,5,0.0,17,,Jaime Alguersuari,Toro Rosso,0,1.0
346,2010,37,15,0.0,9,,Pedro de la Rosa,Sauber,2,0.0
346,2010,9,4,0.0,6,,Robert Kubica,Renault,8,0.0
346,2010,810,166,0.0,22,,Lucas di Grassi,Virgin,0,1.0
347,2010,4,6,25.0,2,1.0,Fernando Alonso,Ferrari,18,1.0
347,2010,13,6,18.0,3,2.0,Felipe Massa,Ferrari,15,0.0
347,2010,20,9,15.0,1,3.0,Sebastian Vettel,Red Bull,25,1.0
347,2010,1,1,12.0,6,4.0,Lewis Hamilton,McLaren,8,1.0
347,2010,18,1,10.0,5,5.0,Jenson Button,McLaren,10,0.0
347,2010,17,9,8.0,4,6.0,Mark Webber,Red Bull,12,0.0
347,2010,9,4,6.0,7,7.0,Robert Kubica,Renault,6,1.0
347,2010,3,131,4.0,9,8.0,Nico Rosberg,Mercedes,2,1.0
347,2010,30,131,2.0,11,9.0,Michael Schumacher,Mercedes,0,0.0
347,2010,808,4,1.0,13,10.0,Vitaly Petrov,Renault,0,0.0
347,2010,155,15,0.0,12,11.0,Kamui Kobayashi,Sauber,0,1.0
347,2010,22,3,0.0,8,12.0,Rubens Barrichello,Williams,4,1.0
347,2010,807,3,0.0,10,13.0,Nico Hülkenberg,Williams,1,0.0
347,2010,37,15,0.0,14,14.0,Pedro de la Rosa,Sauber,0,0.0
